modelname,batch,L2cache,GFLOPS
shufflenet,1,1.9779740310718124,62.49926415995847
shufflenet,2,3.5593670784934535,124.21982992429058
shufflenet,4,6.232634297621726,237.52865347888311
shufflenet,8,10.563683712290352,421.8146026361974
shufflenet,16,16.2259143325431,665.270004641469
resnet-18,1,19.84068968334665,1190.1911101956389
resnet-18,2,22.624425884020493,1439.229177707655
resnet-18,4,23.369721758218866,2061.1204686002134
resnet-18,8,26.369824452934044,2727.504689813153
resnet-18,16,32.41041604331181,3041.075307493101
resnet-34,1,20.925899210058716,1944.8108617005003
resnet-34,2,21.731817472455443,2725.7052468946295
resnet-34,4,23.087175058355704,3282.8026783687847
resnet-34,8,24.001963294416278,4136.577954052515
resnet-34,16,26.270328910820314,4646.180803981787
resnet-50,1,26.932484845894066,2000.9054089846982
resnet-50,2,30.714278134465406,2566.5009776368765
resnet-50,4,29.84552828287692,3035.5770056124265
resnet-50,8,29.758920747219108,3731.8508267501675
resnet-50,16,37.62727948753268,4148.929458803531
resnet-101,1,25.75387165289878,2037.0436704433316
resnet-101,2,29.82023780572566,2424.990256554137
resnet-101,4,25.646978528401196,3180.1837286608657
resnet-101,8,34.173420849104346,3606.1040626017602
resnet-101,16,40.83250873394934,4046.0216835184647
resnet-152,1,31.312006372958038,1782.211515131168
resnet-152,2,27.80731655927866,2393.995269210054
resnet-152,4,28.178854399262327,3055.9108528176425
resnet-152,8,32.578766729660344,3993.6213956853608
resnet-152,16,37.78994188555802,4237.292184047938
vgg-11,1,39.13027223454662,3343.704865316436
vgg-11,2,22.40096341297161,1867.048303577239
vgg-11,4,40.89794284935378,2156.8145512447786
vgg-11,8,41.775944596522336,2298.928539595264
vgg-11,16,41.95883007877227,2326.2016843413944
vgg-13,1,39.572859126374624,4155.938064402168
vgg-13,2,22.205366150041563,2173.133526744907
vgg-13,4,40.31130629408573,2444.498089143331
vgg-13,8,41.271379029797615,2571.9978354763557
vgg-13,16,41.50175646361458,2595.412437589553
vgg-16,1,37.37835499327122,4684.508719765148
vgg-16,2,22.350799318786592,2223.3073913228977
vgg-16,4,40.333413909520594,2536.048521315344
vgg-16,8,41.34292088581543,2693.8449497381534
vgg-16,16,41.37683300041692,2719.68662480284
vgg-19,1,36.138287222620875,5117.037728002597
vgg-19,2,22.225877813722953,2246.865743265533
vgg-19,4,39.90504393140641,2597.1404518638474
vgg-19,8,41.27257101995301,2766.5819893147855
vgg-19,16,41.037730005957826,2814.285183070049
squeezenet,1,11.44504889801986,402.14732678260583
squeezenet,2,16.943700206103937,472.5575687939253
squeezenet,4,24.281458376705388,506.111137109072
squeezenet,8,32.630893559879105,521.5716826328025
squeezenet,16,32.83384138106993,529.0733060930647
mobilenet,1,15.98172931207126,579.2533792829942
mobilenet,2,11.233517492018203,557.6505424014973
mobilenet,4,18.624206487939677,870.7300461915017
mobilenet,8,23.348269381332656,1059.6476410752587
mobilenet,16,26.886278640593705,1138.8178621381082
transformer,8,48.29116140369965,262.44918483397316
transformer,16,66.89645448400391,266.33835992873276
transformer,32,32.414619826991014,269.1490255110852
